회사명,종목코드
대성창투,027830
대정화금,120240
대창스틸,140520
동성화인텍,033500
동양에스텍,060380
동양이엔피,079960
디에이테크놀로지,196490
디젠스,113810
러셀,217500
로지시스,067730
리더스 기술투자,019570
리튬포어스,073570
마크로젠,038290
메가스터디,072870
메디포스트,078160
모다이노칩,080420
미투온,201490
버킷스튜디오,066410
비엘팜텍,065170
서울전자통신,027040
서한,011370
성광벤드,014620
성우전자,081580
세코닉스,053450
솔본,035610
수성샐바시온,084180
시공테크,020710
신진에스엠,138070
심텍홀딩스,036710
쎌바이오텍,049960
아미노로직스,074430
아바텍,149950
아스트,067390
아이디스,143160
아이앤씨,052860
아이에이,038880
아진엑스텍,059120
아프리카TV,067160
안트로젠,065660
알엔투테크놀로지,148250
액토즈소프트,052790
앤씨앤,092600
에스디시스템,121890
에스티아이,039440
에이스테크,088800
에이치케이,044780
에이트원,230980
에이팩트,200470
에치에프알,230240
엘앤케이바이오,156100
오리콤,010470
오이솔루션,138080
와이솔,122990
우리기술,032820
우리기술투자,041190
우리손에프앤지,073560
우리이앤엘,153490
원풍,008370
월덱스,101160
웰크론한텍,076080
웹스,196700
유니셈,036200
유아이엘,049520
유진기업,023410
유진로봇,056080
이노인스트루먼트,215790
이라이콤,041520
이트론,096040
인베니아,079950
인크로스,216050
일진파워,094820
정원엔시스,045510
제노포커스,187420
제닉,123330
제룡산업,147830
제이엔케이히터,126880
중앙에너비스,000440
지엘팜텍,204840
진매트릭스,109820
창해에탄올,004650
초록뱀미디어,047820
케이알엠,093640
케이프,064820
코데즈컴바인,047770
코드네이처,078940
코디,080530
코리아에프티,123410
코센,009730
콜마비앤에이치,200130
클라우드에어,036170
키네마스터,139670
타이거일렉,219130
탑코미디어,134580
테스,095610
톱텍,108230
티피씨글로벌,130740
파워로직스,047310
파인테크닉스,106240
파트론,091700
프리엠스,053160
플랜티넷,075130
피앤씨테크,237750
한국가구,004590
한국캐피탈,023760
한국팩키지,037230
한글과컴퓨터,030520
한양이엔지,045100
한일진공,123840
현대공업,170030
노브메타파마,229500
대동고려삼,178600
로지스몬,223220
볼빅,206950
질경이,233990
크로넥스,215570
판도라티비,202960
플럼라인생명과학,222670
피노텍,150440
BYC,001460
DRB동일,004840
GKL,114090
GS,078930
GS글로벌,001250
HDC랩스,039570
HL D&I,014790
HL만도,204320
HS애드,035000
JB금융지주,175330
KC코트렐,119650
KSS해운,044450
LG,003550
NAVER,035420
SGC에너지,005090
SHD,001770
STX엔진,077970
가온전선,000500
강남제비스코,000860
계양전기,012200
광명전기,017040
그린케미칼,083420
금호에이치티,214330
기업은행,024110
깨끗한나라,004540
노루홀딩스,000320
다스코,058730
대동,000490
대상홀딩스,084690
대웅,003090
대창단조,015230
대현,016090
동부건설,005960
동아쏘시오홀딩스,000640
동일고무벨트,163560
동일산업,004890
두올,016740
디씨엠,024090
롯데손해보험,000400
롯데쇼핑,023530
무림페이퍼,009200
문배철강,008420
보해양조,000890
삼성SDI,006400
삼성전기,009150
삼성중공업,010140
삼양식품,003230
삼화콘덴서공업,001820
상신브레이크,041650
서울도시가스,017390
선도전기,007610
세기상사,002420
세방전지,004490
신흥,004080
아센디오,012170
아시아나항공,020560
에스원,012750
엔케이,085310
웅진씽크빅,095720
유수홀딩스,000700
유엔젤,072130
유유제약,000220
율촌화학,008730
이수화학,005950
이화산업,000760
일성신약,003120
일신방직,003200
일양약품,007570
일진디스플,020760
잇츠한불,226320
전방,000950
제주항공,089590
조일알미늄,018470
종근당,185750
진원생명과학,011000
진흥기업,002780
천일고속,000650
케이티앤지,033780
코스맥스비티아이,044820
평화홀딩스,010770
포스코스틸리온,058430
풍산,103140
하나금융지주,086790
한국내화,010040
한국석유공업,004090
한국쉘석유,002960
한국특강,007280
한성기업,003680
한세실업,105630
한세예스24홀딩스,016450
한솔피엔에스,010420
한익스프레스,014130
현대위아,011210
현대코퍼레이션,011760
현대코퍼레이션홀딩스,227840
화신,010690
흥아해운,003280
CNT85,056730
HLB파나진,046210
KX하이텍,052900
S&K폴리텍,091340
SBI인베스트먼트,019550
SGA,049470
SM C&C,048550
SM Life Design,063440
THE E&M,089230
THE MIDONG,161570
골프존뉴딘홀딩스,121440
글로벌에스엠,900070
금화피에스시,036190
나노신소재,121600
나스미디어,089600
네이처셀,007390
넵튠,217270
녹원씨엔아이,065560
누리플랜,069140
뉴인텍,012340
대동스틸,048470
대아티아이,045390
대주전자재료,078600
데브시스터즈,194480
덱스터,206560
동국알앤에스,075970
두산테스나,131970
드래곤플라이,030350
디딤이앤에프,217620
디티앤씨,187220
로체시스템즈,071280
루트로닉,085370
리노공업,058470
매커스,093520
메가엠디,133750
메디아나,041920
메디앙스,014100
메디콕스,054180
모헨즈,006920
미래생명자원,218150
바디텍메드,206640
백금T&A,046310
보성파워텍,006910
비아트론,141000
비엠티,086670
비츠로시스,054220
빅솔론,093190
빛샘전자,072950
삼아제약,009300
삼영이엔씨,065570
삼진엘앤디,054090
상상인인더스트리,101000
서연탑메탈,019770
서진오토모티브,122690
서희건설,035890
세동,053060
세진티에스,067770
셀트리온제약,068760
솔브레인홀딩스,036830
승일,049830
신원종합개발,017000
신화인터텍,056700
썸에이지,208640
쏠리드,050890
아난티,025980
아바코,083930
아이씨디,040910
아이진,185490
아이크래프트,052460
아이텍,119830
양지사,030960
에스넷,038680
에스씨디,042110
에스텍,069510
에스폴리텍,050760
에이디칩스,054630
에이치시티,072990
에이텍모빌리티,224110
에코플라스틱,038110
엔피케이,048830
엘티씨,170920
영우디에스피,143540
예선테크,250930
오리엔트정공,065500
오스코텍,039200
옴니시스템,057540
와이지엔터테인먼트,122870
우리로,046970
우리산업,215360
우정바이오,215380
우주일렉트로,065680
원익,032940
원익머트리얼즈,104830
원익큐브,014190
위즈코프,038620
윈팩,097800
유비케어,032620
유비쿼스홀딩스,078070
이씨에스,067010
이오테크닉스,039030
이지홀딩스,035810
인터로조,119610
인터플렉스,051370
인트론바이오,048530
인화정공,101930
정다운,208140
제이스코홀딩스,023440
지어소프트,051160
지에스이,053050
컴투스홀딩스,063080
케이엔더블유,105330
케이엘넷,039420
켐트로닉스,089010
코나아이,052400
코리아나,027050
코콤,015710
큐에스아이,066310
키이스트,054780
텔레필드,091440
티플랙스,081150
파이오링크,170790
파인디앤씨,049120
판타지오,032800
팬젠,222110
푸른기술,094940
프럼파스트,035200
피에스텍,002230
하이록코리아,013030
하이비젼시스템,126700
하이소닉,106080
하츠,066130
한국기업평가,034950
한국전자금융,063570
한국정보공학,039740
한네트,052600
한라IMS,092460
한송네오텍,226440
한스바이오메드,042520
한탑,002680
해성산업,034810
헥토이노베이션,214180
홈센타홀딩스,060560
굿센,243870
로보쓰리에이아이앤로보틱스,238500
위월드,140660
이엠티,232530
인바이츠바이오코아,216400
